2025-07-19 12:45:18,285 - __main__ - INFO - Starting PDF Outline Extractor
2025-07-19 12:45:18,286 - __main__ - INFO - Found 1 PDF files to process.
2025-07-19 12:45:18,287 - __main__ - INFO - Processing file: sample.pdf
2025-07-19 12:45:18,287 - extractor.pdf_parser - DEBUG - Starting to parse PDF: C:\Users\shrav\Downloads\project-bolt-sb1-uu5dcyx9\project\input\sample.pdf
2025-07-19 12:45:18,290 - extractor.pdf_parser - DEBUG - PDF has 17 pages
2025-07-19 12:45:18,437 - pdfminer.psparser - DEBUG - seek: 0
2025-07-19 12:45:18,438 - pdfminer.pdfdocument - DEBUG - find_xref: b''
2025-07-19 12:45:18,438 - pdfminer.pdfdocument - DEBUG - find_xref: b'%%EOF'
2025-07-19 12:45:18,440 - pdfminer.pdfdocument - DEBUG - find_xref: b'5179464'
2025-07-19 12:45:18,440 - pdfminer.pdfdocument - DEBUG - find_xref: b'startxref'
2025-07-19 12:45:18,440 - pdfminer.pdfdocument - DEBUG - xref found: pos=b'5179464'
2025-07-19 12:45:18,440 - pdfminer.psparser - DEBUG - seek: 5179464
2025-07-19 12:45:18,440 - pdfminer.psparser - DEBUG - nexttoken: (5179464, /b'xref')
2025-07-19 12:45:18,441 - pdfminer.pdfdocument - DEBUG - read_xref_from: start=5179464, token=/b'xref'
2025-07-19 12:45:18,441 - pdfminer.psparser - DEBUG - nextline: 5179468, b'\n'
2025-07-19 12:45:18,441 - pdfminer.psparser - DEBUG - nextline: 5179469, b'0 530\n'
2025-07-19 12:45:18,442 - pdfminer.psparser - DEBUG - nextline: 5179475, b'0000000080 65535 f \n'
2025-07-19 12:45:18,442 - pdfminer.psparser - DEBUG - nextline: 5179495, b'0000000015 00000 n \n'
2025-07-19 12:45:18,442 - pdfminer.psparser - DEBUG - nextline: 5179515, b'0000003360 00000 n \n'
2025-07-19 12:45:18,442 - pdfminer.psparser - DEBUG - nextline: 5179535, b'0000378221 00000 n \n'
2025-07-19 12:45:18,443 - pdfminer.psparser - DEBUG - nextline: 5179555, b'0000378376 00000 n \n'
2025-07-19 12:45:18,443 - pdfminer.psparser - DEBUG - nextline: 5179575, b'0000378525 00000 n \n'
2025-07-19 12:45:18,443 - pdfminer.psparser - DEBUG - nextline: 5179595, b'0000378682 00000 n \n'
2025-07-19 12:45:18,443 - pdfminer.psparser - DEBUG - nextline: 5179615, b'0000378843 00000 n \n'
2025-07-19 12:45:18,443 - pdfminer.psparser - DEBUG - nextline: 5179635, b'0000003536 00000 n \n'
2025-07-19 12:45:18,443 - pdfminer.psparser - DEBUG - nextline: 5179655, b'0000379003 00000 n \n'
2025-07-19 12:45:18,443 - pdfminer.psparser - DEBUG - nextline: 5179675, b'0000379150 00000 n \n'
2025-07-19 12:45:18,444 - pdfminer.psparser - DEBUG - nextline: 5179695, b'0000379314 00000 n \n'
2025-07-19 12:45:18,444 - pdfminer.psparser - DEBUG - nextline: 5179715, b'0000379470 00000 n \n'
2025-07-19 12:45:18,444 - pdfminer.psparser - DEBUG - nextline: 5179735, b'0000379847 00000 n \n'
2025-07-19 12:45:18,446 - pdfminer.psparser - DEBUG - nextline: 5179755, b'0000000063 00000 n \n'
2025-07-19 12:45:18,446 - pdfminer.psparser - DEBUG - nextline: 5179775, b'0000379621 00000 n \n'
2025-07-19 12:45:18,446 - pdfminer.psparser - DEBUG - nextline: 5179795, b'0005172634 00000 n \n'
2025-07-19 12:45:18,447 - pdfminer.psparser - DEBUG - nextline: 5179815, b'0005172807 00000 n \n'
2025-07-19 12:45:18,447 - pdfminer.psparser - DEBUG - nextline: 5179835, b'0005172321 00000 n \n'
2025-07-19 12:45:18,447 - pdfminer.psparser - DEBUG - nextline: 5179855, b'0005172464 00000 n \n'
2025-07-19 12:45:18,450 - pdfminer.psparser - DEBUG - nextline: 5179875, b'0000379675 00000 n \n'
2025-07-19 12:45:18,452 - pdfminer.psparser - DEBUG - nextline: 5179895, b'0005172979 00000 n \n'
2025-07-19 12:45:18,453 - pdfminer.psparser - DEBUG - nextline: 5179915, b'0000379733 00000 n \n'
2025-07-19 12:45:18,455 - pdfminer.psparser - DEBUG - nextline: 5179935, b'0000379790 00000 n \n'
2025-07-19 12:45:18,458 - pdfminer.psparser - DEBUG - nextline: 5179955, b'0005172038 00000 n \n'
2025-07-19 12:45:18,459 - pdfminer.psparser - DEBUG - nextline: 5179975, b'0005173155 00000 n \n'
2025-07-19 12:45:18,462 - pdfminer.psparser - DEBUG - nextline: 5179995, b'0001698862 00000 n \n'
2025-07-19 12:45:18,463 - pdfminer.psparser - DEBUG - nextline: 5180015, b'0001708556 00000 n \n'
2025-07-19 12:45:18,464 - pdfminer.psparser - DEBUG - nextline: 5180035, b'0001698681 00000 n \n'
2025-07-19 12:45:18,465 - pdfminer.psparser - DEBUG - nextline: 5180055, b'0001699779 00000 n \n'
2025-07-19 12:45:18,466 - pdfminer.psparser - DEBUG - nextline: 5180075, b'0001698802 00000 n \n'
2025-07-19 12:45:18,467 - pdfminer.psparser - DEBUG - nextline: 5180095, b'0001699285 00000 n \n'
2025-07-19 12:45:18,468 - pdfminer.psparser - DEBUG - nextline: 5180115, b'0001709347 00000 n \n'
2025-07-19 12:45:18,468 - pdfminer.psparser - DEBUG - nextline: 5180135, b'0001708074 00000 n \n'
2025-07-19 12:45:18,469 - pdfminer.psparser - DEBUG - nextline: 5180155, b'0000385289 00000 n \n'
2025-07-19 12:45:18,470 - pdfminer.psparser - DEBUG - nextline: 5180175, b'0000385442 00000 n \n'
2025-07-19 12:45:18,470 - pdfminer.psparser - DEBUG - nextline: 5180195, b'0000385607 00000 n \n'
2025-07-19 12:45:18,471 - pdfminer.psparser - DEBUG - nextline: 5180215, b'0000385772 00000 n \n'
2025-07-19 12:45:18,472 - pdfminer.psparser - DEBUG - nextline: 5180235, b'0000385931 00000 n \n'
2025-07-19 12:45:18,472 - pdfminer.psparser - DEBUG - nextline: 5180255, b'0000386098 00000 n \n'
2025-07-19 12:45:18,474 - pdfminer.psparser - DEBUG - nextline: 5180275, b'0000386263 00000 n \n'
2025-07-19 12:45:18,474 - pdfminer.psparser - DEBUG - nextline: 5180295, b'0000386419 00000 n \n'
2025-07-19 12:45:18,475 - pdfminer.psparser - DEBUG - nextline: 5180315, b'0000386583 00000 n \n'
2025-07-19 12:45:18,475 - pdfminer.psparser - DEBUG - nextline: 5180335, b'0000386744 00000 n \n'
2025-07-19 12:45:18,477 - pdfminer.psparser - DEBUG - nextline: 5180355, b'0000386907 00000 n \n'
2025-07-19 12:45:18,479 - pdfminer.psparser - DEBUG - nextline: 5180375, b'0000387072 00000 n \n'
2025-07-19 12:45:18,480 - pdfminer.psparser - DEBUG - nextline: 5180395, b'0000387228 00000 n \n'
2025-07-19 12:45:18,481 - pdfminer.psparser - DEBUG - nextline: 5180415, b'0000387388 00000 n \n'
2025-07-19 12:45:18,482 - pdfminer.psparser - DEBUG - nextline: 5180435, b'0000387545 00000 n \n'
2025-07-19 12:45:18,483 - pdfminer.psparser - DEBUG - nextline: 5180455, b'0000387712 00000 n \n'
2025-07-19 12:45:18,484 - pdfminer.psparser - DEBUG - nextline: 5180475, b'0000387871 00000 n \n'
2025-07-19 12:45:18,485 - pdfminer.psparser - DEBUG - nextline: 5180495, b'0000388032 00000 n \n'
2025-07-19 12:45:18,485 - pdfminer.psparser - DEBUG - nextline: 5180515, b'0000388193 00000 n \n'
2025-07-19 12:45:18,488 - pdfminer.psparser - DEBUG - nextline: 5180535, b'0000388353 00000 n \n'
2025-07-19 12:45:18,490 - pdfminer.psparser - DEBUG - nextline: 5180555, b'0000388510 00000 n \n'
2025-07-19 12:45:18,490 - pdfminer.psparser - DEBUG - nextline: 5180575, b'0000388673 00000 n \n'
